Dataset,Mixture 1,Mixture 2,Experimental Values,Category,Idx_DREAM,Difference
Snitz 2,1.0,12.0,0.461249656445,unknown,,
Snitz 2,11.0,2.0,0.478150494948,unknown,,
Ravia,121.0,123.0,0.6152272727,unknown,,
Ravia,121.0,128.0,0.5515909091000001,unknown,,
Ravia,121.0,131.0,0.6897727272999999,unknown,,
Ravia,122.0,125.0,0.59,unknown,,
Ravia,122.0,127.0,0.3481818182,unknown,,
Ravia,122.0,128.0,0.4979545455,unknown,,
Ravia,123.0,122.0,0.5334090909,unknown,,
Ravia,123.0,125.0,0.4725,unknown,,
Ravia,124.0,123.0,0.5725,unknown,,
Ravia,124.0,129.0,0.5479545455,unknown,,
Ravia,125.0,127.0,0.5956818182,unknown,,
Ravia,125.0,130.0,0.5875,unknown,,
Ravia,125.0,134.0,0.5302272726999999,unknown,,
Ravia,126.0,122.0,0.8334090908999999,unknown,,
Ravia,126.0,123.0,0.7136363636,unknown,,
Ravia,126.0,125.0,0.7220454545,unknown,,
Ravia,126.0,130.0,0.6293181818,unknown,,
Ravia,127.0,121.0,0.7009090909,unknown,,
Ravia,127.0,124.0,0.5306818182,unknown,,
Ravia,128.0,126.0,0.7981818182000001,unknown,,
Ravia,128.0,132.0,0.6281818182,unknown,,
Ravia,128.0,131.0,0.5331818182,unknown,,
Ravia,128.0,130.0,0.6252272727,unknown,,
Ravia,129.0,122.0,0.4152272727,unknown,,
Ravia,129.0,126.0,0.7715909091,unknown,,
Ravia,129.0,128.0,0.5209090908999999,unknown,,
Ravia,129.0,133.0,0.5556818182,unknown,,
Ravia,132.0,121.0,0.6759090909,unknown,,
Ravia,132.0,123.0,0.6131818182,unknown,,
Ravia,132.0,125.0,0.6470454545,unknown,,
Ravia,131.0,122.0,0.4536363636,unknown,,
Ravia,131.0,124.0,0.6309090908999999,unknown,,
Ravia,131.0,132.0,0.7377272727,unknown,,
Ravia,131.0,134.0,0.4645454544999999,unknown,,
Ravia,130.0,129.0,0.5859090909,unknown,,
Ravia,130.0,131.0,0.6425,unknown,,
Ravia,133.0,121.0,0.6795454544999999,unknown,,
Ravia,133.0,125.0,0.6765909091000001,unknown,,
Ravia,133.0,127.0,0.3870454545,unknown,,
Ravia,133.0,132.0,0.6747727273000002,unknown,,
Ravia,133.0,130.0,0.6911363636,unknown,,
Ravia,134.0,121.0,0.6102272727,unknown,,
Ravia,134.0,123.0,0.5311363636,unknown,,
Ravia,134.0,124.0,0.4984090908999999,unknown,,
Ravia,134.0,126.0,0.8034090909,unknown,,
Ravia,134.0,132.0,0.6522727273000001,unknown,,
Ravia,121.0,131.0,0.7195454545,unknown,,
Ravia,121.0,132.0,0.7790909091,unknown,,
Ravia,121.0,122.0,0.4095454544999999,unknown,,
Ravia,121.0,124.0,0.7454545455,unknown,,
Ravia,121.0,125.0,0.6477272726999999,unknown,,
Ravia,121.0,126.0,0.6434090909,unknown,,
Ravia,122.0,129.0,0.3940909091,unknown,,
Ravia,122.0,130.0,0.7459090909,unknown,,
Ravia,122.0,124.0,0.7034090908999999,unknown,,
Ravia,122.0,132.0,0.4222727273,unknown,,
Ravia,122.0,130.0,0.395,unknown,,
Ravia,123.0,133.0,0.5359090908999999,unknown,,
Ravia,123.0,134.0,0.4856818182,unknown,,
Ravia,123.0,127.0,0.5075,unknown,,
Ravia,123.0,128.0,0.5043181818,unknown,,
Ravia,123.0,129.0,0.6495454545,unknown,,
Ravia,123.0,131.0,0.3963636364,unknown,,
Ravia,124.0,130.0,0.6684090909,unknown,,
Ravia,124.0,133.0,0.7927272727000001,unknown,,
Ravia,124.0,125.0,0.5131818182,unknown,,
Ravia,124.0,126.0,0.6675,unknown,,
Ravia,124.0,128.0,0.6502272726999999,unknown,,
Ravia,124.0,132.0,0.5697727273000001,unknown,,
Ravia,125.0,130.0,0.5736363636,unknown,,
Ravia,125.0,133.0,0.6256818182,unknown,,
Ravia,125.0,128.0,0.685,unknown,,
Ravia,126.0,129.0,0.8372727272999999,unknown,,
Ravia,126.0,131.0,0.6352272727,unknown,,
Ravia,126.0,127.0,0.8495454545,unknown,,
Ravia,126.0,132.0,0.8188636364,unknown,,
Ravia,127.0,131.0,0.4368181818,unknown,,
Ravia,127.0,133.0,0.4779545455,unknown,,
Ravia,127.0,128.0,0.6840909091,unknown,,
Ravia,127.0,129.0,0.3329545455,unknown,,
Ravia,127.0,132.0,0.6681818182000001,unknown,,
Ravia,127.0,131.0,0.4334090908999999,unknown,,
Ravia,128.0,130.0,0.4331818182,unknown,,
Ravia,128.0,134.0,0.4270454545,unknown,,
Ravia,129.0,133.0,0.7368181817999999,unknown,,
Ravia,129.0,134.0,0.5465909091000001,unknown,,
Ravia,129.0,132.0,0.2275,unknown,,
Ravia,132.0,131.0,0.3061363636,unknown,,
Ravia,131.0,134.0,0.2759090909,unknown,,
Ravia,133.0,134.0,0.2554545455,unknown,,
Ravia,135.0,137.0,0.6653999999999999,unknown,,
Ravia,135.0,142.0,0.644,unknown,,
Ravia,135.0,145.0,0.5905,unknown,,
Ravia,136.0,139.0,0.7491,unknown,,
Ravia,136.0,141.0,0.7303999999999999,unknown,,
Ravia,136.0,142.0,0.6204999999999999,unknown,,
Ravia,137.0,136.0,0.6769,unknown,,
Ravia,137.0,139.0,0.4322,unknown,,
Ravia,138.0,137.0,0.6790999999999999,unknown,,
Ravia,138.0,143.0,0.6743000000000001,unknown,,
Ravia,139.0,141.0,0.3867,unknown,,
Ravia,139.0,144.0,0.4804,unknown,,
Ravia,139.0,148.0,0.5720000000000001,unknown,,
Ravia,140.0,136.0,0.4817,unknown,,
Ravia,140.0,137.0,0.6019,unknown,,
Ravia,140.0,139.0,0.6728000000000001,unknown,,
Ravia,140.0,144.0,0.5670000000000001,unknown,,
Ravia,141.0,135.0,0.6644,unknown,,
Ravia,141.0,138.0,0.6809999999999999,unknown,,
Ravia,142.0,140.0,0.5494,unknown,,
Ravia,142.0,146.0,0.5737,unknown,,
Ravia,142.0,145.0,0.4342,unknown,,
Ravia,142.0,144.0,0.5018,unknown,,
Ravia,143.0,136.0,0.3752,unknown,,
Ravia,143.0,140.0,0.4897999999999999,unknown,,
Ravia,143.0,142.0,0.4797999999999999,unknown,,
Ravia,143.0,147.0,0.5903,unknown,,
Ravia,146.0,135.0,0.7618,unknown,,
Ravia,146.0,137.0,0.5292,unknown,,
Ravia,146.0,139.0,0.5235,unknown,,
Ravia,145.0,136.0,0.7156999999999999,unknown,,
Ravia,145.0,138.0,0.7062999999999999,unknown,,
Ravia,145.0,146.0,0.4772999999999999,unknown,,
Ravia,145.0,148.0,0.455,unknown,,
Ravia,144.0,143.0,0.6539,unknown,,
Ravia,144.0,145.0,0.4739,unknown,,
Ravia,147.0,135.0,0.7542,unknown,,
Ravia,147.0,139.0,0.3202,unknown,,
Ravia,147.0,141.0,0.3809,unknown,,
Ravia,147.0,146.0,0.3728,unknown,,
Ravia,147.0,144.0,0.4985,unknown,,
Ravia,148.0,135.0,0.6628000000000001,unknown,,
Ravia,148.0,137.0,0.5667,unknown,,
Ravia,148.0,138.0,0.7062,unknown,,
Ravia,148.0,140.0,0.5375,unknown,,
Ravia,148.0,146.0,0.5134000000000001,unknown,,
Ravia,135.0,136.0,0.6364,unknown,,
Ravia,135.0,138.0,0.2768,unknown,,
Ravia,135.0,139.0,0.6213000000000001,unknown,,
Ravia,135.0,140.0,0.4639,unknown,,
Ravia,135.0,143.0,0.5792,unknown,,
Ravia,135.0,144.0,0.6725999999999999,unknown,,
Ravia,136.0,138.0,0.6731,unknown,,
Ravia,136.0,146.0,0.8059000000000001,unknown,,
Ravia,136.0,144.0,0.7725,unknown,,
Ravia,136.0,147.0,0.8229,unknown,,
Ravia,136.0,148.0,0.6833,unknown,,
Ravia,137.0,141.0,0.3854999999999999,unknown,,
Ravia,137.0,142.0,0.4696,unknown,,
Ravia,137.0,143.0,0.5183,unknown,,
Ravia,137.0,145.0,0.4607,unknown,,
Ravia,137.0,144.0,0.5519,unknown,,
Ravia,137.0,147.0,0.4467,unknown,,
Ravia,138.0,139.0,0.7286,unknown,,
Ravia,138.0,140.0,0.6528999999999999,unknown,,
Ravia,138.0,142.0,0.6542,unknown,,
Ravia,138.0,146.0,0.8327,unknown,,
Ravia,138.0,144.0,0.7128,unknown,,
Ravia,138.0,147.0,0.7573000000000001,unknown,,
Ravia,139.0,142.0,0.4579,unknown,,
Ravia,139.0,143.0,0.6734,unknown,,
Ravia,139.0,145.0,0.2273,unknown,,
Ravia,140.0,141.0,0.7173,unknown,,
Ravia,140.0,146.0,0.6940000000000001,unknown,,
Ravia,140.0,145.0,0.6914,unknown,,
Ravia,140.0,147.0,0.715,unknown,,
Ravia,141.0,142.0,0.1945,unknown,,
Ravia,141.0,143.0,0.5282,unknown,,
Ravia,141.0,146.0,0.4857,unknown,,
Ravia,141.0,145.0,0.4042,unknown,,
Ravia,141.0,144.0,0.4841,unknown,,
Ravia,141.0,148.0,0.5004,unknown,,
Ravia,142.0,147.0,0.5069,unknown,,
Ravia,142.0,148.0,0.526,unknown,,
Ravia,143.0,146.0,0.7273000000000001,unknown,,
Ravia,143.0,145.0,0.6285000000000001,unknown,,
Ravia,143.0,148.0,0.5856,unknown,,
Ravia,146.0,144.0,0.3837,unknown,,
Ravia,145.0,147.0,0.3468,unknown,,
Ravia,144.0,148.0,0.2889,unknown,,
Ravia,147.0,148.0,0.5396,unknown,,
